"ID příspěvku","Přímý odkaz","Zpráva příspěvku",Typ,Země,Jazyky,"Příspěvky uživatele","Zacílení na okruh uživatelů","Dlouhodobý Celkový dosah příspěvku","Dlouhodobý Organický dosah příspěvku","Dlouhodobý Placený dosah příspěvku","Dlouhodobý Celkový počet zobrazení příspěvku","Dlouhodobý Počet zobrazení organického příspěvku","Dlouhodobý Počet placených zobrazení příspěvku","Dlouhodobý Aktivní uživatelé","Dlouhodobý Konzumenti příspěvků","Dlouhodobý Využití příspěvků","Dlouhodobý Negativní ohlas","Dlouhodobý Negativní ohlas od uživatelů","Dlouhodobý Počet zobrazení příspěvků od lidí, kterým se vaše stránka líbí","Dlouhodobý Dosah příspěvků podle fanoušků vaší stránky","Dlouhodobý Počet placených zobrazení příspěvků od lidí, kterým se vaše stránka líbí","Dlouhodobý Placený dosah příspěvku podle fanoušků vaší stránky","Dlouhodobý Lidé, kterým se líbí vaše stránka a vyjádřili se k vašemu příspěvku","Dlouhodobý Organická zhlédnutí do 95 %","Dlouhodobý Organická zhlédnutí do 95 %","Dlouhodobý Placená zhlédnutí do 95 %","Dlouhodobý Placená zhlédnutí do 95 %","Dlouhodobý Organická zhlédnutí videa","Dlouhodobý Organická zhlédnutí videa","Dlouhodobý Zhlédnutí placeného videa","Dlouhodobý Zhlédnutí placeného videa","Dlouhodobý Průměrná doba sledování videa","Dlouhodobý Délka videa","Dlouhodobý Mluví o tom (příspěvek) podle typu akce - comment","Dlouhodobý Mluví o tom (příspěvek) podle typu akce - like","Dlouhodobý Mluví o tom (příspěvek) podle typu akce - share","Dlouhodobý Příběhy na příspěvky podle typu akce - comment","Dlouhodobý Příběhy na příspěvky podle typu akce - like","Dlouhodobý Příběhy na příspěvky podle typu akce - share","Dlouhodobý Uživatelé příspěvku (podle typu) - clicks to play","Dlouhodobý Uživatelé příspěvku (podle typu) - link clicks","Dlouhodobý Uživatelé příspěvku (podle typu) - other clicks","Dlouhodobý Uživatelé příspěvku (podle typu) - photo view","Dlouhodobý Využití příspěvků podle typu - clicks to play","Dlouhodobý Využití příspěvků podle typu - link clicks","Dlouhodobý Využití příspěvků podle typu - other clicks","Dlouhodobý Využití příspěvků podle typu - photo view","Dlouhodobý Negativní ohlas - hide_all_clicks","Dlouhodobý Negativní ohlas - hide_clicks","Dlouhodobý Negativní ohlas od uživatelů podle typu - hide_all_clicks","Dlouhodobý Negativní ohlas od uživatelů podle typu - hide_clicks","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 0","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 1","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 2","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 3","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 4","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 5","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 6","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 7","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 8","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 9","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 10","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 11","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 12","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 13","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 14","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 15","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 16","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 17","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 18","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 19","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 20","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 21","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 22","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 23","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 24","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 25","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 26","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 27","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 28","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 29","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 30","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 31","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 32","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 33","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 34","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 35","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 36","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 37","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 38","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 39","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 40"
,,,,,,,,"Dlouhodobý Celkový počet lidí, kterým byl příspěvek stránky zobrazen (Jedineční uživatelé)","Dlouhodobý Počet lidí, kteří viděli příspěvek vaší stránky ve svém kanálu vybraných příspěvků nebo na panelu používaných aplikací, případně na Timeline stránky (Jedineční uživatelé)","Dlouhodobý Počet lidí, kterým se zobrazil příspěvek vaší inzerované stránky (Jedineční uživatelé)","Dlouhodobý Počet zobrazení příspěvku na vaší stránce (Celkový počet)","Dlouhodobý Počet zobrazení vašeho příspěvku v kanálu vybraných příspěvků nebo na panelu používaných aplikaci nebo na Timeline stránky (Celkový počet)","Dlouhodobý Počet zobrazení vašeho příspěvku na stránce v reklamě nebo ve sponzorovaném příběhu. (Celkový počet)","Dlouhodobý Počet lidí, kteří kliknuli kdekoli ve vašich příspěvcích (Jedineční uživatelé)","Dlouhodobý Počet lidí, kteří klikli kdekoli ve vašem příspěvku. (Jedineční uživatelé)","Dlouhodobý Počet kliknutí kdekoli ve vašem příspěvku. (Celkový počet)","Dlouhodobý Počet uživatelů, kteří se k vašemu příspěvky vyjádřili negativně. (Jedineční uživatelé)","Dlouhodobý Počet negativních ohlasů na váš příspěvek (Celkový počet)","Dlouhodobý Počet zobrazení příspěvků vaší stránky lidem, kterým se vaše stránka líbí (Celkový počet)","Dlouhodobý Počet lidí, kteří viděli příspěvek vaší stránky, protože vaši stránku označili jako To se mi líbí (Jedineční uživatelé)","Dlouhodobý Počet placených zobrazení příspěvků vaší stránky lidem, kterým se vaše stránka líbí (Celkový počet)","Dlouhodobý Počet lidí, kterým se vaše stránka líbí a kteří viděli příspěvek vaší stránky v reklamě nebo sponzorovaném příspěvku. (Jedineční uživatelé)","Dlouhodobý Počet lidí, kterým se líbí vaše stránka a kliknuli kdekoli ve vašich příspěvcích (Jedineční uživatelé)","Dlouhodobý Počet zhlédnutí videa do 95 % jeho délky bez placené propagace, včetně zobrazení s přeskočením do tohoto bodu. (Celkový počet)","Dlouhodobý Počet zhlédnutí videa do 95 % jeho délky bez placené propagace, včetně zobrazení s přeskočením do tohoto bodu. (Jedineční uživatelé)","Dlouhodobý Počet zhlédnutí videa do 95 % jeho délky na základě placené propagace, včetně zobrazení s přeskočením do tohoto bodu. (Celkový počet)","Dlouhodobý Počet zhlédnutí videa do 95 % jeho délky na základě placené propagace, včetně zobrazení s přeskočením do tohoto bodu. (Jedineční uživatelé)","Dlouhodobý Počet, kolikrát bylo vaše video zhlédnuto po dobu delší než 3 s bez placené propagace (Celkový počet)","Dlouhodobý Počet, kolikrát bylo vaše video zhlédnuto po dobu delší než 3 s bez placené propagace (Jedineční uživatelé)","Dlouhodobý Kolikrát bylo vaše video zobrazeno déle než 3 s po placené propagaci (Celkový počet)","Dlouhodobý Kolikrát bylo vaše video zobrazeno déle než 3 s po placené propagaci (Jedineční uživatelé)","Dlouhodobý Průměrná doba sledování videa (Celkový počet)","Dlouhodobý Délka videopříspěvku (Celkový počet)","Dlouhodobý Počet jedinečných lidí, kteří vytvořili příběh o příspěvku vaší stránky tím, že s ním provedli interakci (Jedineční uživatelé)",,,"Dlouhodobý Počet příspěvků vytvořených v návaznosti na příspěvek na vaší stránce podle typu akce (Celkový počet)",,,"Dlouhodobý Počet lidí, kteří klikli kdekoli ve vašem příspěvku, podle typu. (Jedineční uživatelé)",,,,"Dlouhodobý Počet kliknutí kdekoli ve vašem příspěvku, podle typu. (Celkový počet)",,,,"Dlouhodobý Počet uživatelů, kteří se k vašemu příspěvku vyjádřili negativně (podle typu). (Jedineční uživatelé)",,"Dlouhodobý Počet negativních ohlasů na váš příspěvek podle typu (Celkový počet)",,"Dlouhodobý Zhlédnutí vašeho videa v každém okamžiku jako procentní podíl ze všech zhlédnutí, včetně zhlédnutí kratších než 3 s (videopříspěvek) (Celkový počet)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114649465308050_1058210254285295,https://www.facebook.com/UniCreditBankCZ/posts/1058210254285295,"Víte, že na vytvoření dostatečné finanční rezervy je potřebné si odkládat přibližně 10 % příjmu? Investujte pravidelně s programem pravidelného investování U invest Plus nyní s možností získat extra bonus ve výši vaší měsíční investice.",Link,,,"02/27/2017 12:36:00 AM"," ",35488,3444,32044,45774,8563,37211,217,172,183,2,2,12062,6862,5074,4025,69,0,0,0,0,0,0,0,0,0,0,5,44,13,5,45,15,,114,59,,,117,66,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114649465308050_1063572700415717,https://www.facebook.com/UniCreditBankCZ/videos/1063572700415717/,"Pokud jste nás v pondělí sledovali zde, na našich Facebookových stránkách, pak určitě víte, kdo a jak vyhrál lístky na včerejší zápas AC Sparta Praha! Jak se vám naše živé vysílání líbilo?",Video,,,"02/23/2017 11:54:00 PM"," ",67782,3371,64411,102690,6090,96600,174,143,161,0,0,14199,7107,8677,4425,78,234,225,5556,5328,1064,993,26457,21473,0,19897,2,34,,3,34,,18,,125,4,19,,138,4,,,,,0.8718,1,0.9962,0.9813,0.7669,0.6553,0.5841,0.5159,0.4627,0.4228,0.3904,0.3568,0.3279,0.3072,0.2913,0.2767,0.263,0.252,0.2326,0.2112,0.1247,,,,,,,,,,,,,,,,,,,,
114649465308050_1063374450435542,https://www.facebook.com/UniCreditBankCZ/posts/1063374450435542,"U konto je nominováno na nejoblíbenější produkt v kategorii Cena veřejnosti! Líbí se vám náš účet bez poplatků s výběry po celém světě zdarma? Hlasujte pro něj na tomto odkazu. Vaší podpory si velmi vážíme.",Link,,,"02/22/2017 02:43:27 AM"," ",36973,5028,31945,129713,14183,115530,754,556,705,5,5,100164,18750,92313,17432,294,0,0,0,0,0,0,0,0,0,0,59,243,24,109,262,29,,393,190,,,455,248,,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114649465308050_1061934930579494,https://www.facebook.com/UniCreditBankCZ/videos/1061934930579494/,"Najděte s námi vstupenky na zápas Evropské ligy!",Video,,,"02/20/2017 05:10:13 AM"," ",6767,6767,0,10907,10907,0,327,308,483,4,4,9447,5836,0,0,255,46,42,0,0,2179,1995,0,0,0,720267,11,28,6,19,36,6,84,,256,7,104,,370,9,1,3,1,3,1,0.2457,0.1624,0.1301,0.1054,0.0672,0.0468,0.0459,0.0323,0.0306,0.0272,0.0255,0.0238,0.0196,0.017,0.0272,0.023,0.0247,0.0187,0.017,0.0153,0.0187,0.0136,0.0179,0.017,0.0196,0.0187,0.0179,0.0145,0.0128,0.017,0.0179,0.017,0.0179,0.0408,0.0519,0.0485,0.0417,0.0391,0.0357,0.0204
114649465308050_1061756543930666,https://www.facebook.com/UniCreditBankCZ/posts/1061756543930666,"Soutěž o lístky na Ac Sparta Praha již dnes od 14:00! Uhodnete kde budou lístky uschovány?",Note,,,"02/20/2017 12:19:02 AM"," ",2963,2831,132,4595,4461,134,55,44,52,1,1,4313,2719,0,0,51,0,0,0,0,0,0,0,0,0,0,5,7,,13,7,,,2,44,1,,2,49,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114649465308050_1059223720850615,https://www.facebook.com/UniCreditBankCZ/videos/1059223720850615/,"Víte jaké IQ má bankomat? Vyzkoušejte si ho a uvidíte, že vkládat peníze je hračka. Máme k dispozici 146 bankomatů s vkladovou funkcí.",Video,,,"02/17/2017 08:23:20 AM"," ",181121,8294,172827,276177,15641,260536,850,687,847,4,4,20623,9484,9980,5352,268,1312,1280,32261,32094,2958,2765,74094,67716,0,16344,28,186,17,52,190,18,283,2,456,7,288,2,547,10,4,,4,,0.9036,0.9996,1,0.9955,0.9602,0.8891,0.8422,0.8067,0.7754,0.7524,0.7343,0.7169,0.7018,0.6866,0.6662,0.6485,0.635,0.6072,0.5593,0.4338,0.3275,,,,,,,,,,,,,,,,,,,,
114649465308050_1056355041137483,https://www.facebook.com/UniCreditBankCZ/posts/1056355041137483:0,"Nenechte si ujít atmosféru evropské úrovně. Již v pondělí 20.2. od 14:00 do 14:30 bude probíhat soutěž o 2 lístky na fotbalový zápas Evropské ligy AC Sparta Praha - FC Rostov. ⚽️ Soutěž bude probíhat zde na našich Facebookových stránkach a to pouhých 30 minut, tak buďte připravení!",Photo,,,"02/16/2017 07:06:02 AM"," ",30757,4822,25935,34024,7307,26717,241,197,258,2,2,7258,4744,1293,1143,65,,,,,,,,,0,0,18,40,11,37,42,11,,,141,68,,,164,94,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114649465308050_1057147501058237,https://www.facebook.com/UniCreditBankCZ/posts/1057147501058237,"Investujte pravidelně do budoucnosti své a vaší rodiny. Nyní s možností získat extra bonus ve výši vaší měsíční investice. bit.ly/PravidelneInvesticesBonusem",Photo,,,"02/15/2017 04:20:47 AM"," ",3566,3566,0,5520,5520,0,66,43,68,2,2,4448,2929,0,0,57,,,,,,,,,0,0,,26,10,,27,10,,14,20,14,,14,27,27,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114649465308050_1055696147870039,https://www.facebook.com/UniCreditBankCZ/posts/1055696147870039,"Svátek zamilovaných u nás pravidelně slaví až dvě třetiny lidí. Češi svým protějškům na Valentýna nejčastěji dopřejí večeři nebo čokoládu, třetím nejoblíbenějším dárkem je květina. Náš průzkum ukázal, že čtvrtina Čechů potěší svou polovičku dárkem v maximální hodnotě 250 korun, celá pětina pak do svátku zamilovaných investuje až 500 korun, více než tisícovku pak na Valentýna vyhradí zhruba 6 % Čechů.",Link,,,"02/13/2017 07:45:01 AM"," ",47096,3373,43723,58813,6779,52034,456,415,460,0,0,9743,5799,3869,2933,89,0,0,0,0,0,0,0,0,0,0,6,35,5,8,35,5,,107,322,,,112,348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114649465308050_1053389388100715,https://www.facebook.com/UniCreditBankCZ/posts/1053389388100715,"Češi slaví Valentýna nejčastěji romantickou večeří nebo koupí květiny či čokolády, ukázal průzkum naší banky. Zůstat u čokolády ale můžete, i když hledáte originální a navíc výnosný dárek! Pořiďte svému protějšku třeba akcie výrobců čokolády. Značky Lindt, Mondeléz či Nestlé si od prosince na burzách připsaly přes 10 %.",Link,,,"02/10/2017 08:33:01 AM"," ",48669,3328,45341,65234,7018,58216,270,217,247,3,3,11315,6219,5257,3482,63,0,0,0,0,0,0,0,0,0,0,11,40,8,16,40,12,,132,87,,,134,113,,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114649465308050_1052000811572906,https://www.facebook.com/UniCreditBankCZ/posts/1052000811572906,"Oslavte tento svátek ve své oblíbené restauraci kdykoliv od 14. do 19. února a my Vám při platbě kartou UniCredit Bank vrátíme 20 % z útraty. Můžete takto ušetřit až 300 Kč. Stačí se zaregistrovat do programu U-šetřete a aktivovat si nabídku Valentýnská večeře.",Link,,,"02/08/2017 12:03:56 PM"," ",66313,5065,61248,96947,9572,87375,343,279,311,2,2,13448,7260,6378,3968,103,0,0,0,0,0,0,0,0,0,0,6,62,16,8,62,17,,184,103,,,196,115,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114649465308050_1047436825362638,https://www.facebook.com/UniCreditBankCZ/posts/1047436825362638,"Mezi zažité předsudky patří, že mladí lidé neumí spořit a chovají se k penězům nerozvážně. Tak tomu ale není! Díky našemu průzkumu jsme zjistili, že téměř 60% mladých ve věku 18 - 26 let řeší své zajištění na stáří a zajištění finančních podmínek pro brzké založení rodiny. #vyvracimepredsudky",Link,,,"02/06/2017 12:22:00 AM"," ",59910,2744,57166,87248,6287,80961,242,187,209,1,1,12910,6800,7423,4655,44,0,0,0,0,0,0,0,0,0,0,1,57,8,1,57,8,,118,74,,,128,81,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114649465308050_1047484282024559,https://www.facebook.com/notes/unicredit-bank-%C4%8Desk%C3%A1-republika/co-je-to-expresn%C3%AD-platba-a-kolik-stoj%C3%AD/1047484282024559,"Co je to expresní platba a kolik stojí?",Note,,,"02/03/2017 07:39:38 AM"," ",2155,2155,0,3465,3465,0,33,32,33,0,0,3419,2132,0,0,31,,,,,,,,,0,0,,2,,,7,,,,32,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114649465308050_1044848672288120,https://www.facebook.com/UniCreditBankCZ/posts/1044848672288120,"Finanční gramotnost v Česku stoupá a s ní i schopnost rozložit si finance a spořit. Skoro třetina Čechů v průzkumu uvedla, že jim zbývá každý měsíc dost peněz. Polovina si s výplatou pohodlně vystačí. Stále je tu ale téměř čtvrtina lidí, kteří uvedli, že vyjdou jen tak tak. Do které skupiny patříte vy? Vychází vám peníze i na spoření?",Link,,,"02/01/2017 12:37:00 AM"," ",16673,4908,11765,27977,9156,18821,456,180,199,2,2,16489,8321,9679,5297,146,0,0,0,0,0,0,0,0,0,0,26,268,15,47,270,16,,72,110,,,74,125,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
